feature1,feature2,auc
bb_position_inv_ma3,volatility_shift_ma3,0.5441245818496685
rsi_vol_interaction,volatility_shift_ma3,0.5397800670585496
bb_position_inv_ma3,vol_regime,0.5394212386584819
rsi_inv_lag1,volatility_shift_ma3,0.5388580784645124
bb_position_inv_ma3,fib_prox_x_adx,0.5360612948731756
bb_position_inv_ma3,fib_prox_score,0.5354059132472463
bb_position_inv_ma3,fib05_prox_atr,0.5349896314217605
rsi_vol_interaction,fib_prox_x_adx,0.5349450380831626
bb_position_inv_ma3,rsi_vol_interaction,0.5348032698905728
bb_position_inv_ma3,rsi_inv_lag1,0.5346673454819499
bb_position_inv_ma3,fib05_x_rsi_inv,0.5345796009402823
bb_position_inv_ma3,fib05_x_ema_slope,0.5345710170988116
rsi_vol_interaction,fib_prox_score,0.5341814962926081
rsi_vol_interaction,fib05_prox_atr,0.5334063923372091
rsi_vol_interaction,fib05_x_rsi_inv,0.5333191368675902
rsi_vol_interaction,fib05_x_ema_slope,0.5333030978124534
rsi_vol_interaction,rsi_inv_lag1,0.5332357438131257
rsi_vol_interaction,vol_regime,0.5329653496717173
rsi_inv_lag1,fib_prox_x_adx,0.5325425531557362
rsi_inv_lag1,vol_regime,0.5323018670062114
rsi_inv_lag1,fib_prox_score,0.5319121831759918
rsi_inv_lag1,fib05_prox_atr,0.5312758941704268
rsi_inv_lag1,fib05_x_rsi_inv,0.5311568866385667
rsi_inv_lag1,fib05_x_ema_slope,0.5311365274469992
volatility_shift_ma3,fib_prox_x_adx,0.5281703368221643
volatility_shift_ma3,fib05_x_rsi_inv,0.5281467610413533
volatility_shift_ma3,fib05_prox_atr,0.5280780903095866
volatility_shift_ma3,fib_prox_score,0.5273961357690091
volatility_shift_ma3,fib05_x_ema_slope,0.5273310891865267
volatility_shift_ma3,vol_regime,0.5266947562898804
fib05_x_rsi_inv,vol_regime,0.5252432719612286
vol_regime,fib05_x_ema_slope,0.5244186902168986
fib05_x_rsi_inv,fib05_x_ema_slope,0.5180600889469064
vol_regime,fib_prox_score,0.5162775718129571
vol_regime,fib05_prox_atr,0.5155128261527441
vol_regime,fib_prox_x_adx,0.5149324982758329
fib05_x_rsi_inv,fib05_prox_atr,0.5060866584004295
fib05_x_rsi_inv,fib_prox_x_adx,0.49958247668392897
fib05_x_ema_slope,fib_prox_score,0.4976926145054355
fib05_x_ema_slope,fib_prox_x_adx,0.4971831644546648
fib05_x_rsi_inv,fib_prox_score,0.4970085406526468
fib_prox_score,fib05_prox_atr,0.49659588924659986
fib_prox_score,fib_prox_x_adx,0.4965495339945955
fib_prox_x_adx,fib05_prox_atr,0.4964417876601654
fib05_x_ema_slope,fib05_prox_atr,0.495636047730021
