year,regime,blocker_reason,flat_bars,flat_bars_in_year_regime,share,max_streak,p95_streak,effective_config_fingerprint,source_label
2024,BEAR,HYST_WAIT,4,18,0.222222,1,1,e61d7a11bfeb72c4984380a42bdbf15beb46ae4a23b0d4c72d1df88a511d8010,config_file_complete:step6_min_edge_0p01__ltf_gate_mild.json
2024,BEAR,LTF_FIB_LONG_BLOCK,1,18,0.055556,1,1,e61d7a11bfeb72c4984380a42bdbf15beb46ae4a23b0d4c72d1df88a511d8010,config_file_complete:step6_min_edge_0p01__ltf_gate_mild.json
2024,BEAR,ZONE:high@0.300,13,18,0.722222,4,4,e61d7a11bfeb72c4984380a42bdbf15beb46ae4a23b0d4c72d1df88a511d8010,config_file_complete:step6_min_edge_0p01__ltf_gate_mild.json
2024,BULL,EDGE_TOO_SMALL,3,282,0.010638,1,1,e61d7a11bfeb72c4984380a42bdbf15beb46ae4a23b0d4c72d1df88a511d8010,config_file_complete:step6_min_edge_0p01__ltf_gate_mild.json
2024,BULL,LTF_FIB_LONG_BLOCK,196,282,0.695035,16,14,e61d7a11bfeb72c4984380a42bdbf15beb46ae4a23b0d4c72d1df88a511d8010,config_file_complete:step6_min_edge_0p01__ltf_gate_mild.json
2024,BULL,ZONE:high@0.300,83,282,0.294326,7,6,e61d7a11bfeb72c4984380a42bdbf15beb46ae4a23b0d4c72d1df88a511d8010,config_file_complete:step6_min_edge_0p01__ltf_gate_mild.json
2024,RANGING,EDGE_TOO_SMALL,11,538,0.020446,2,2,e61d7a11bfeb72c4984380a42bdbf15beb46ae4a23b0d4c72d1df88a511d8010,config_file_complete:step6_min_edge_0p01__ltf_gate_mild.json
2024,RANGING,HYST_WAIT,29,538,0.053903,1,1,e61d7a11bfeb72c4984380a42bdbf15beb46ae4a23b0d4c72d1df88a511d8010,config_file_complete:step6_min_edge_0p01__ltf_gate_mild.json
2024,RANGING,LTF_FIB_LONG_BLOCK,373,538,0.693309,18,14,e61d7a11bfeb72c4984380a42bdbf15beb46ae4a23b0d4c72d1df88a511d8010,config_file_complete:step6_min_edge_0p01__ltf_gate_mild.json
2024,RANGING,ZONE:high@0.300,125,538,0.232342,9,4,e61d7a11bfeb72c4984380a42bdbf15beb46ae4a23b0d4c72d1df88a511d8010,config_file_complete:step6_min_edge_0p01__ltf_gate_mild.json
