param,best_bin,best_bin_desc,best_median,best_count,lift_vs_baseline
exit.exit_conf_threshold,bin_1,"(0.4, 0.42]",1.3136479949036923,303,0.32575507134553205
exit.max_hold_bars,bin_2,"(20, 23]",0.9878929235581603,373,0.0
exit.trailing_stop_pct,bin_2,"(0.015, 0.018]",0.9878929235581603,259,0.0
htf_exit_config.enable_partials,True,True,0.9878929235581603,1089,0.0
htf_exit_config.enable_structure_breaks,True,True,0.9878929235581603,1089,0.0
htf_exit_config.enable_trailing,True,True,0.9878929235581603,1089,0.0
htf_exit_config.fib_threshold_atr,bin_2,"(0.75, 0.85]",0.9878929235581603,215,0.0
htf_exit_config.partial_1_pct,bin_0,"(-inf, 0.52]",0.9878929235581603,408,0.0
htf_exit_config.partial_2_pct,bin_2,"(0.4, 0.5]",0.9878929235581603,342,0.0
htf_exit_config.swing_update_strategy,fixed,fixed,0.9878929235581603,1089,0.0
htf_exit_config.trail_atr_multiplier,bin_3,"(3.3, +inf)",0.9878929235581603,268,0.0
htf_fib.entry.enabled,True,True,0.9878929235581603,1089,0.0
htf_fib.entry.long_max_level,0.236,0.236,0.9878929235581603,1089,0.0
htf_fib.entry.missing_policy,pass,pass,0.9878929235581603,1089,0.0
htf_fib.entry.short_min_level,0.35,0.35,0.9878929235581603,1089,0.0
htf_fib.entry.tolerance_atr,bin_0,"(-inf, 2]",0.9878929235581603,355,0.0
ltf_fib.entry.enabled,True,True,0.9878929235581603,1089,0.0
ltf_fib.entry.long_max_level,0.146,0.146,0.9878929235581603,1089,0.0
ltf_fib.entry.missing_policy,pass,pass,0.9878929235581603,1089,0.0
ltf_fib.entry.short_min_level,0.236,0.236,0.9878929235581603,1089,0.0
ltf_fib.entry.tolerance_atr,bin_3,"(2, +inf)",0.9878929235581603,226,0.0
multi_timeframe.allow_ltf_override,True,True,0.9878929235581603,1089,0.0
multi_timeframe.htf_selector.fallback_timeframe,1D,1D,0.9878929235581603,1089,0.0
multi_timeframe.htf_selector.mode,fixed,fixed,0.9878929235581603,1089,0.0
multi_timeframe.htf_selector.per_timeframe.1h.timeframe,1D,1D,0.9878929235581603,1089,0.0
multi_timeframe.ltf_override_threshold,bin_2,"(0.48, 0.54]",0.9878929235581603,287,0.0
multi_timeframe.use_htf_block,True,True,0.9878929235581603,1089,0.0
thresholds.entry_conf_overall,bin_2,"(0.29, 0.31]",0.9878929235581603,300,0.0
thresholds.min_edge,0.01,0.01,0.9878929235581603,1089,0.0
thresholds.regime_proba.balanced,bin_0,"(-inf, 0.46]",0.9878929235581603,353,0.0
thresholds.regime_proba.bear,bin_0,"(-inf, 0.4]",0.9878929235581603,281,0.0
thresholds.regime_proba.bull,bin_0,"(-inf, 0.42]",0.9878929235581603,311,0.0
thresholds.regime_proba.ranging,bin_2,"(0.44, 0.52]",0.9878929235581603,244,0.0
thresholds.signal_adaptation.atr_period,28,28,0.9878929235581603,1089,0.0
thresholds.signal_adaptation.zones.high.entry_conf_overall,bin_3,"(0.43, +inf)",0.9878929235581603,209,0.0
thresholds.signal_adaptation.zones.high.regime_proba,bin_0,"(-inf, 0.46]",0.9878929235581603,386,0.0
thresholds.signal_adaptation.zones.low.entry_conf_overall,bin_2,"(0.24, 0.27]",0.9878929235581603,339,0.0
thresholds.signal_adaptation.zones.low.regime_proba,bin_2,"(0.38, 0.42]",0.9878929235581603,273,0.0
thresholds.signal_adaptation.zones.mid.entry_conf_overall,bin_0,"(-inf, 0.27]",0.9878929235581603,449,0.0
thresholds.signal_adaptation.zones.mid.regime_proba,bin_2,"(0.44, 0.47]",0.9878929235581603,285,0.0
