param_a,param_b,best_bin_a,best_bin_a_desc,best_bin_b,best_bin_b_desc,best_median,best_count,synergy_vs_best_single
exit.max_hold_bars,ltf_fib.entry.tolerance_atr,bin_3,"(22, +inf)",bin_0,"(-inf, 0.75]",0.5350369499780181,3,0.07816866043856768
exit.max_hold_bars,multi_timeframe.ltf_override_threshold,bin_3,"(22, +inf)",bin_2,"(0.48, 0.54]",0.5350369499780181,3,0.07816866043856768
ltf_fib.entry.tolerance_atr,multi_timeframe.ltf_override_threshold,bin_1,"(0.75, 1.25]",bin_2,"(0.48, 0.54]",0.5350369499780181,4,0.07816866043856768
htf_fib.entry.tolerance_atr,exit.max_hold_bars,bin_2,"(3.5, 4.5]",bin_3,"(22, +inf)",0.5350369499780181,3,0.039084330219283814
htf_fib.entry.tolerance_atr,ltf_fib.entry.tolerance_atr,bin_2,"(3.5, 4.5]",bin_2,"(1.25, 1.75]",0.5350369499780181,3,0.039084330219283814
htf_fib.entry.tolerance_atr,multi_timeframe.ltf_override_threshold,bin_2,"(3.5, 4.5]",bin_2,"(0.48, 0.54]",0.5350369499780181,4,0.039084330219283814
exit.exit_conf_threshold,htf_exit_config.partial_2_pct,bin_0,"(-inf, 0.34]",bin_1,"(0.4, 0.45]",0.5350369499780181,7,0.0
exit.exit_conf_threshold,thresholds.regime_proba.balanced,bin_0,"(-inf, 0.34]",bin_1,"(0.44, 0.48]",0.5350369499780181,3,0.0
exit.exit_conf_threshold,thresholds.signal_adaptation.zones.high.regime_proba,bin_0,"(-inf, 0.34]",bin_1,"(0.46, 0.48]",0.5350369499780181,3,0.0
exit.exit_conf_threshold,thresholds.signal_adaptation.zones.low.entry_conf_overall,bin_0,"(-inf, 0.34]",bin_0,"(-inf, 0.23]",0.5350369499780181,5,0.0
exit.exit_conf_threshold,thresholds.signal_adaptation.zones.low.regime_proba,bin_0,"(-inf, 0.34]",bin_1,"(0.36, 0.39]",0.5350369499780181,6,0.0
exit.exit_conf_threshold,thresholds.signal_adaptation.zones.mid.entry_conf_overall,bin_0,"(-inf, 0.34]",bin_1,"(0.3, 0.32]",0.5350369499780181,7,0.0
exit.exit_conf_threshold,thresholds.signal_adaptation.zones.mid.regime_proba,bin_0,"(-inf, 0.34]",bin_0,"(-inf, 0.38]",0.5350369499780181,6,0.0
exit.exit_conf_threshold,htf_fib.entry.tolerance_atr,bin_0,"(-inf, 0.34]",bin_1,"(2.5, 3.5]",0.5350369499780181,4,0.0
exit.exit_conf_threshold,exit.max_hold_bars,bin_0,"(-inf, 0.34]",bin_3,"(22, +inf)",0.5350369499780181,4,0.0
